name,longitude,latitude
beugneux,3.41667,49.2333
clermont les fermes,3.95,49.6667
condren,3.28333,49.6167
franqueville,3.80945,49.81
arcy sainte restitue,3.46667,49.25
burelles,3.9,49.7833
rocourt saint martin,3.38333,49.15
commenchon,3.16667,49.6333
voulpaix,3.83333,49.8333
bucy les cerny,3.51667,49.5833
renansart,3.45,49.7167
presles et boves,3.55,49.4
lavaqueresse,3.70833,49.95
cuffies,3.31667,49.4167
villequier aumont,3.2,49.65
vendelles,3.13333,49.9167
attilly,3.16667,49.85
berlancourt,3.75806,49.7787
grisolles,3.35,49.15
courcelles sur vesle,3.57195,49.3381
sons et roncheres,3.66667,49.75
seringes et nesles,3.53333,49.2
grandlup et fay,3.73333,49.6667
coincy,3.41667,49.1667
marly gomont,3.8,49.9
macogny,3.23333,49.1667
tartiers,3.23333,49.4333
gibercourt,3.28333,49.7333
pontru,3.21667,49.9
trelou sur marne,3.60695,49.077
la ville aux bois les dizy,3.99334,49.6612
amigny rouy,3.3,49.6
charmes,3.38333,49.65
viffort,3.45,48.9667
machecourt,3.84167,49.6583
nogent l artaud,3.31667,48.9667
tannieres,3.55,49.2833
saint erme outre et ramecourt,3.85,49.5167
jouaignes,3.5,49.3
vaucelles et beffecourt,3.55,49.5333
lesquielles saint germain,3.61667,49.9333
aizy jouy,3.51639,49.4348
faucoucourt,3.46667,49.5333
chavigny,3.3,49.4333
veuilly la poterie,3.21667,49.0833
mezy moulins,3.5,49.0667
gernicourt,3.86667,49.4
quincy basse,3.38333,49.5167
sergy,3.56667,49.1833
toulis et attencourt,3.73333,49.6833
puiseux en retz,3.13333,49.3
leuze,4.15,49.85
crezancy,3.5,49.05
noyales,3.55,49.9
marigny en orxois,3.21667,49.0667
foreste,3.1,49.8167
wissignicourt,3.43333,49.5333
tavaux et pontsericourt,3.91667,49.7333
saponay,3.48333,49.2167
ebouleau,3.86667,49.6667
orainville,4.01667,49.3833
missy les pierrepont,3.8,49.6333
neuilly saint front,3.26667,49.1667
tergnier,3.3,49.65
la ferte milon,3.11667,49.1667
bassoles aulers,3.38333,49.5333
le verguier,3.16667,49.9333
ostel,3.56667,49.4333
sissy,3.43333,49.8
leury,3.33333,49.4333
la croix sur ourcq,3.35,49.1667
pernant,3.23333,49.3833
etreux,3.65,49.9833
bruys,3.56667,49.2667
fontenelle,3.86667,50.0333
cerseuil,3.51667,49.3333
voharies,3.8,49.7833
saint pierre aigle,3.18333,49.3167
saint martin riviere,3.53333,50.05
nanteuil notre dame,3.4,49.2
selens,3.2,49.5
monthenault,3.66667,49.4833
saint eugene,3.53333,49.0167
etouvelles,3.58333,49.5333
faverolles,3.17639,49.2242
lislet,4.01667,49.6833
vendeuil,3.35,49.7167
folembray,3.28333,49.55
courbes,3.45,49.6833
